species,province,count,lat,lon,date,doy
Ardeola bacchus,Shanghai,1,30.920507,121.973159,12/16/2017,349
Sterna hirundo,Jiangsu,1,32.22442,121.534255,11/10/2018,313
Ardea cinerea,Zhejiang,3,30.270709,120.078047,11/13/2011,316
Calidris alba,Jiangsu,,32.581667,121.006667,10/6/2014,278
Calidris falcinellus,Jiangsu,2,32.761767,120.959379,4/15/2017,104
Ardeola bacchus,Guangdong,1,22.543114,114.057442,5/25/2006,144
Charadrius placidus,Jiangxi,1,29.167976,117.844806,12/9/2017,342
Phalacrocorax carbo,Jiangsu,5000,33.602272,120.507223,12/12/2017,345
Gallinula chloropus,Shanghai,6,31.215664,121.545353,9/5/2016,248
Egretta garzetta,Shanghai,40,30.920507,121.973159,11/10/2018,313
Calidris alba,Shanghai,15,30.901893,121.976287,10/9/2016,282
Tachybaptus ruficollis,Shanghai,19,31.063559,120.997217,6/23/2018,173
Calidris tenuirostris,Jiangsu,8,32.868218,120.91234,8/11/2017,222
Ardea alba,Zhejiang,8,28.160098,121.318288,4/26/2016,116
Ardea alba,Shanghai,10,30.920507,121.973159,11/5/2018,308
Nycticorax nycticorax,Jiangsu,1,32.581667,121.006667,4/16/2015,105
Limosa limosa,Zhejiang,2,28.160098,121.318288,4/27/2016,117
Ardea cinerea,Jiangsu,200,33.602272,120.507223,12/25/2001,358
Calidris alpina,Shanghai,100,30.920507,121.973159,11/23/2017,326
Charadrius dubius,Guangdong,,22.591705,113.975494,12/12/2009,345
Tringa totanus,Jiangsu,14,32.22442,121.534255,9/9/2018,251
Ixobrychus sinensis,Zhejiang,2,30.64273,122.061938,9/27/2014,269
Nycticorax nycticorax,Shanghai,1,31.100956,121.544584,9/9/2018,251
Chlidonias hybrida,Guangdong,35,22.850202,115.604859,4/15/2015,104
Tachybaptus ruficollis,Jiangsu,20,32.75,120.96,4/23/2017,112
Tringa guttifer,Jiangsu,1,32.581667,121.006667,11/1/2013,304
Charadrius dubius,Shanghai,1,30.920507,121.973159,6/9/2018,159
Calidris alpina,Jiangxi,3,28.870571,116.43317,11/16/2016,320
Tachybaptus ruficollis,Jiangsu,5,33.55764,120.428521,1/6/2015,5
Egretta garzetta,Jiangsu,1,31.98565,118.66734,6/14/2013,164
Ardea alba,Guangdong,3,23.039732,113.358135,12/8/2013,341
Egretta garzetta,Shanghai,18,31.297333,121.859434,10/11/2016,284
Spatula clypeata,Shanghai,12,30.920507,121.973159,4/9/2015,98
Anas platyrhynchos,Jiangxi,,29.16198,115.932198,11/4/2000,308
Calidris tenuirostris,Shanghai,25,31.313462,121.876574,3/25/2017,83
Nycticorax nycticorax,Shanghai,5,30.920507,121.973159,7/31/2017,211
Butorides striata,Shanghai,1,31.49514,121.964722,12/27/2014,360
Tringa nebularia,Guangdong,5,21.618953,111.785792,12/15/2018,348
Calidris canutus,Zhejiang,200,27.727911,120.754885,5/5/2018,124
Limosa limosa,Jiangsu,160,32.22442,121.534255,8/12/2017,223
